ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
DFW,UA,6054,15.27,11.62,1.55,-3.91,4
DFW,DL,8781,15.44,8.72,0.95,-3.74,5
DFW,NK,7456,18.26,12.73,1.42,-0.92,6
DFW,OH,6795,19.88,15.52,2.47,0.7,7
DFW,F9,7550,22.58,22.0,2.82,3.4,8
DFW,AA,123008,25.14,19.84,2.04,5.96,9
DFW,B6,249,46.23,44.48,1.20,27.05,10
DFW,YX,31,55.9,47.83,0.00,36.72,11
DFW,9E,2,99.5,130.0,0.00,80.32,12
DHN,9E,413,6.64,1.9,0.73,-2.66,1
DHN,OO,184,15.27,11.91,1.09,5.97,2
DIK,OO,417,18.49,12.97,2.88,0.0,1
DLG,AS,79,2.55,4.45,2.53,0.0,1
DLH,YX,357,2.87,-3.24,0.28,-9.85,1
DLH,9E,135,9.24,9.63,0.00,-3.48,2
DLH,DL,82,13.47,6.86,1.22,0.75,3
DLH,OO,1041,16.53,10.53,1.34,3.81,4
DRO,MQ,14,-1.93,-16.21,0.00,-14.15,1
DRO,UA,494,10.55,0.36,1.62,-1.67,2
DRO,OO,2196,12.65,10.35,1.14,0.43,3
DRO,AA,6,25.33,20.17,0.00,13.11,4
DSM,YX,660,2.96,1.28,1.67,-9.63,1
DSM,UA,1450,5.95,4.75,1.17,-6.64,2
DSM,9E,1888,7.91,2.13,1.75,-4.68,3
DSM,WN,1296,9.59,3.37,0.93,-3.0,4
DSM,DL,825,11.0,1.86,0.61,-1.59,5
DSM,MQ,637,12.24,9.34,1.26,-0.35,6
DSM,OO,638,13.69,9.77,1.88,1.1,7
DSM,F9,206,17.64,16.54,1.46,5.05,8
DSM,OH,335,18.11,16.82,1.49,5.52,9
DSM,G4,1213,19.04,15.19,1.90,6.45,10
DSM,AA,1779,23.26,20.19,2.08,10.67,11
DTW,YX,3484,3.33,-0.33,1.72,-8.38,1
DTW,9E,9471,5.34,0.99,0.96,-6.37,2
DTW,MQ,621,6.78,4.26,2.42,-4.93,3
DTW,UA,1619,8.87,5.14,1.17,-2.84,4
DTW,WN,2962,9.17,2.51,0.57,-2.54,5
DTW,NK,7454,10.61,3.0,1.46,-1.1,6
DTW,AS,375,11.42,8.43,1.87,-0.29,7
DTW,OH,789,11.78,9.91,2.15,0.07,8
DTW,DL,42945,11.86,6.5,0.96,0.15,9
DTW,B6,778,14.41,11.62,1.16,2.7,10
DTW,AA,4135,15.04,11.2,2.06,3.33,11
DTW,OO,19565,15.43,11.68,0.67,3.72,12
