aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
TYR,MQ,56,5.93,-0.4,1.79,-5.43,1
TYR,OO,224,12.72,8.41,2.23,1.36,2
TYS,UA,85,1.11,-2.56,0.0,-8.36,1
TYS,YX,173,3.11,0.09,0.58,-6.36,2
TYS,9E,677,3.32,-3.52,1.92,-6.15,3
TYS,DL,336,3.8,-5.07,1.49,-5.67,4
TYS,OO,368,3.87,-0.09,2.99,-5.6,5
TYS,MQ,281,8.76,6.53,0.36,-0.71,6
TYS,OH,918,9.74,8.64,1.31,0.27,7
TYS,F9,62,16.08,14.69,0.0,6.61,8
TYS,G4,630,16.47,13.53,2.22,7.0,9
TYS,AA,383,22.75,16.6,1.83,13.28,10
USA,G4,184,24.05,21.23,1.09,0.0,1
VCT,OO,143,12.98,6.87,2.8,0.0,1
VEL,OO,13,97.15,87.92,0.0,0.0,1
VLD,OO,12,5.5,0.0,0.0,-5.3,1
VLD,9E,176,11.17,6.26,2.27,0.37,2
VPS,YX,15,-7.87,-13.0,0.0,-22.53,1
VPS,OH,174,3.46,3.81,2.87,-11.2,2
VPS,DL,610,8.6,1.46,0.49,-6.06,3
VPS,WN,476,9.67,4.53,0.63,-4.99,4
VPS,MQ,92,10.32,5.81,1.09,-4.34,5
VPS,9E,5,10.5,12.75,20.0,-4.16,6
VPS,G4,541,16.49,12.61,0.74,1.83,7
VPS,AA,457,31.75,30.19,1.53,17.09,8
WRG,AS,177,-3.33,-5.5,1.13,0.0,1
WYS,OO,68,20.26,17.5,0.0,0.0,1
XNA,YX,214,-0.48,-5.08,1.4,-10.32,1
XNA,DL,137,5.24,-3.03,0.73,-4.6,2
XNA,9E,489,6.26,1.2,0.82,-3.58,3
XNA,UA,63,7.65,3.81,0.0,-2.19,4
XNA,MQ,1378,8.25,6.19,0.87,-1.59,5
XNA,F9,39,11.1,10.31,0.0,1.26,6
XNA,OH,53,11.21,7.13,1.89,1.37,7
XNA,OO,588,12.1,8.4,0.68,2.26,8
XNA,G4,193,18.45,14.31,1.04,8.61,9
XNA,AA,285,23.05,23.75,0.0,13.21,10
XWA,OO,449,27.57,23.53,1.56,0.0,1
YAK,AS,163,-3.09,-4.61,1.23,0.0,1
YUM,MQ,159,7.79,4.17,1.89,-0.94,1
YUM,OO,279,9.25,6.58,0.0,0.52,2
